Country/Other,Cases in the last 7 days,Cases in the preceding 7 days,Weekly Case % Change,Cases in the last 7 days/1M pop,Deaths in the last 7 days,Deaths in the preceding 7 days,Weekly Death % Change,Deaths in the last 7 days/1M pop,Population
Belgium,0,2708,-100,0,0,0,0,0.0,11668278
Bosnia and Herzegovina,21,6,250,6,0,0,0,0.0,3249317
Bulgaria,743,511,45,109,3,3,0,0.4,6844597
Croatia,237,231,3,58,14,12,17,3.0,4059286
Czechia,1908,1166,64,178,6,5,20,0.6,10736784
Denmark,51,287,-82,9,1,14,-93,0.2,5834950
Estonia,90,85,6,68,0,0,0,0.0,1321910
Finland,0,320,-100,0,0,4,-100,0.0,5554960
Germany,8146,7356,11,97,222,101,120,3.0,83883596
Italy,5918,28981,-80,98,22,98,-78,0.4,60262770
Latvia,0,70,-100,0,0,0,0,0.0,1848837
Lithuania,1810,1099,65,680,1,1,0,0.4,2661708
Malta,148,107,38,333,1,3,-67,2.0,444033
Moldova,203,173,17,51,0,0,0,0.0,4013171
Monaco,0,13,-100,0,0,0,0,0.0,39783
Montenegro,199,137,45,317,0,0,0,0.0,627950
Norway,0,459,-100,0,0,10,-100,0.0,5511370
Poland,1020,639,60,27,2,2,0,0.1,37739785
Romania,0,7171,-100,0,0,14,-100,0.0,19031335
Russia,11516,7688,50,79,14,10,40,0.1,145805947
Serbia,1529,964,59,177,0,0,0,0.0,8653016
Slovakia,98,247,-60,18,0,0,0,0.0,5460193
Slovenia,138,115,20,66,0,0,0,0.0,2078034
Sweden,0,428,-100,0,0,16,-100,0.0,10218971
UK,0,2679,-100,0,0,0,0,0.0,68497907
